Year,Month,Day,Closing_price
2015,10,30,1499.23
2015,10,29,1495.86
2015,10,28,1499.64
2015,10,27,1487.03
2015,10,26,1506.16
2015,10,23,1506.59
2015,10,22,1484.47
2015,10,21,1452.09
2015,10,20,1466.67
2015,10,19,1458
2015,10,16,1452.36
2015,10,15,1453.87
2015,10,14,1442.75
2015,10,13,1460.11
2015,10,12,1481.43
2015,10,9,1483.74
2015,10,8,1464.49
2015,10,7,1452.01
2015,10,6,1457.15
2015,10,5,1456.97
2015,10,2,1412.86
2015,10,1,1404.45
2015,9,30,1416.89
2015,9,29,1391.88
2015,9,28,1389.38
2015,9,25,1418.47
2015,9,24,1381.87
2015,9,23,1421.5
2015,9,22,1425.39
2015,9,21,1462.66
2015,9,18,1453.11
2015,9,17,1486.46
2015,9,16,1483.66
2015,9,15,1469.08
2015,9,14,1467.73
2015,9,11,1488.41
2015,9,10,1494.35
2015,9,9,1507.15
2015,9,8,1488.88
2015,9,7,1471.75
2015,9,4,1461.46
2015,9,3,1500.21
2015,9,2,1471.51
2015,9,1,1469.86
2015,8,31,1501.07
2015,8,28,1509.71
2015,8,27,1502.86
2015,8,26,1458.2
2015,8,25,1483.35
2015,8,24,1428.08
2015,8,21,1495.36
2015,8,20,1534.39
2015,8,19,1553.51
2015,8,18,1583.53
2015,8,17,1592.81
2015,8,14,1586.83
2015,8,13,1594.15
2015,8,12,1575.04
2015,8,11,1614.72
2015,8,10,1636.54
2015,8,7,1612.28
2015,8,6,1621.56
2015,8,5,1627.42
2015,8,4,1611.88
2015,8,3,1618.28
2015,7,31,1615.64
2015,7,30,1603.5
2015,7,29,1597.86
2015,7,28,1588.22
2015,7,27,1581.33
2015,7,24,1612.8
2015,7,23,1619.81
2015,7,22,1621.27
2015,7,21,1636.42
2015,7,20,1653.44
2015,7,17,1635.47
2015,7,16,1636.12
2015,7,15,1601.97
2015,7,14,1616.25
2015,7,13,1614.42
2015,7,10,1590.54
2015,7,9,1549.59
2015,7,8,1520.88
2015,7,7,1516.12
2015,7,6,1526.94
2015,7,3,1553.6
2015,7,2,1562.1
2015,7,1,1575.5
2015,6,30,1541.66
2015,6,29,1559.8
2015,6,26,1608.26
2015,6,25,1601.12
2015,6,24,1611.5
2015,6,23,1620.95
2015,6,22,1606.62
2015,6,18,1562.43
2015,6,17,1567.46
2015,6,16,1582.23
2015,6,15,1566.99
